%
% ARFF data file, generated by KNIME
%
% Date: Sun Feb 05 11:28:54 BRT 2017
% User: otluiz
%

@RELATION DataTable
@ATTRIBUTE BR	INTEGER
@ATTRIBUTE CondPista	INTEGER
@ATTRIBUTE RestrVisibili	INTEGER
@ATTRIBUTE TipoAcident	INTEGER
@ATTRIBUTE CausaAcident	INTEGER
@ATTRIBUTE TracadoVia	INTEGER
@ATTRIBUTE TipoAuto	INTEGER
@ATTRIBUTE Gravidade	INTEGER
@ATTRIBUTE DiaDaSemana	INTEGER
@ATTRIBUTE Hour	INTEGER
@ATTRIBUTE KMArredondado	INTEGER
@ATTRIBUTE Delegacia	INTEGER
@ATTRIBUTE tx_RestVisibi	REAL
@ATTRIBUTE tx_CondPista	REAL
@ATTRIBUTE tx_TipoAcident	REAL
@ATTRIBUTE tx_DiaSemana	REAL
@ATTRIBUTE tx_CausaAcident	REAL
@ATTRIBUTE tx_TracadoVia	REAL
@ATTRIBUTE tx_BR	REAL
@ATTRIBUTE tx_Km	REAL

@DATA
232,1,10,4,6,4,144,1,5,16,102,1102,0.923,0.802,0.301,0.158,0.255,0.812,0.271,0.006
232,2,10,18,6,4,233,1,4,18,131,1102,0.923,0.135,0.034,0.141,0.255,0.812,0.271,0.003
232,2,50,24,6,4,1,1,7,18,178,1102,0.026,0.135,0.056,0.132,0.255,0.812,0.271,0.002
408,1,10,12,3,4,5,1,2,18,58,1101,0.923,0.802,0.036,0.137,0.048,0.812,0.04,0.007
408,1,10,14,3,4,5,1,1,8,70,1101,0.923,0.802,0.026,0.155,0.375,0.812,0.04,0.016
428,1,10,20,24,4,1,1,4,9,97,1106,0.923,0.802,0.104,0.141,0.022,0.812,0.05,0.007
101,1,30,2,3,4,5,1,1,15,78,1101,0.031,0.802,0.091,0.155,0.375,0.812,0.434,0.014
101,1,10,1,6,4,89,1,6,6,21,1101,0.923,0.802,0.218,0.14,0.255,0.812,0.434,0.005
101,1,10,1,3,4,5,1,2,11,34,1101,0.923,0.802,0.218,0.137,0.375,0.812,0.434,0.003
101,1,10,8,3,4,233,1,6,19,42,1101,0.923,0.802,0.012,0.14,0.375,0.812,0.434,0.006
101,2,10,4,6,4,13,1,3,20,65,1101,0.923,0.135,0.301,0.136,0.255,0.812,0.434,0.013
101,2,10,4,6,4,144,1,5,10,67,1101,0.923,0.135,0.301,0.158,0.255,0.812,0.434,0.019
